"year","start.month","start.day","end.month","end.day","zone","start.date","end.date","duration"
2014,4,28,7,15,"12","2014-04-28","2014-07-15",79
2014,7,15,8,21,"19","2014-07-15","2014-08-21",38
2014,4,28,7,9,"12E","2014-04-28","2014-07-09",73
2014,4,24,6,26,"12F","2014-04-24","2014-06-26",64
2015,5,11,7,22,"12","2015-05-11","2015-07-22",73
2015,7,15,8,19,"19","2015-07-15","2015-08-19",36
2015,5,10,6,24,"12E","2015-05-10","2015-06-24",46
2015,5,16,7,17,"12F","2015-05-16","2015-07-17",63
2016,4,22,7,14,"12","2016-04-22","2016-07-14",84
2016,7,13,8,16,"19","2016-07-13","2016-08-16",35
2016,4,22,6,10,"12E","2016-04-22","2016-06-10",50
2016,4,13,6,27,"12F","2016-04-13","2016-06-27",76
2017,4,25,7,24,"12","2017-04-25","2017-07-24",91
2017,7,13,8,5,"19","2017-07-13","2017-08-05",24
2017,4,20,6,22,"12E","2017-04-20","2017-06-22",64
2017,4,19,6,15,"12F","2017-04-19","2017-06-15",58
2018,4,29,7,1,"12","2018-04-29","2018-07-01",64
2018,7,10,8,1,"19","2018-07-10","2018-08-01",23
2018,4,26,6,30,"12E","2018-04-26","2018-06-30",66
2018,4,19,6,27,"12F","2018-04-19","2018-06-27",70
2019,5,2,7,1,"12","2019-05-02","2019-07-01",61
2019,7,5,9,5,"19","2019-07-05","2019-09-05",63
2019,5,2,7,1,"12E","2019-05-02","2019-07-01",61
2019,4,18,7,1,"12F","2019-04-18","2019-07-01",75
