species,start.date,end.date,zone
snow crab,2014/04/28,2014/07/15,12
snow crab,2014/07/15,2014/08/21,19
snow crab,2014/04/28,2014/07/09,12E
snow crab,2014/04/24,2014/06/26,12F
snow crab,2015/05/11,2015/07/22,12
snow crab,2015/07/15,2015/08/19,19
snow crab,2015/05/10,2015/06/24,12E
snow crab,2015/05/16,2015/07/17,12F
snow crab,2016/04/22,2016/07/14,12
snow crab,2016/07/13,2016/08/16,19
snow crab,2016/04/22,2016/06/10,12E
snow crab,2016/04/13,2016/06/27,12F
snow crab,2017/04/25,2017/07/24,12
snow crab,2017/07/13,2017/08/05,19
snow crab,2017/04/20,2017/06/22,12E
snow crab,2017/04/19,2017/06/15,12F
snow crab,2018/04/29,2018/07/01,12
snow crab,2018/07/10,2018/08/01,19
snow crab,2018/04/26,2018/06/30,12E
snow crab,2018/04/19,2018/06/27,12F
snow crab,2019/05/02,2019/07/01,12
snow crab,2019/07/05,2019/09/05,19
snow crab,2019/05/02,2019/07/01,12E
snow crab,2019/04/18,2019/07/01,12F
snow crab,2020/04/24,2020/07/01,12
snow crab,2020/07/02,2020/08/13,19
snow crab,2020/04/24,2020/06/30,12E
snow crab,2020/04/24,2020/07/01,12F
snow crab,2021/04/04,2021/06/30,12
snow crab,2021/07/14,2021/08/18,19
snow crab,2021/04/04,2021/06/30,12E
snow crab,2021/04/04,2021/06/30,12F
